Title,Actors,Description
X-Men Origins: Wolverine,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston","A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years."
Satanic,"Sarah Hyland, Steven Krueger, Justin Chon, Clara Mamet","Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites, only to encounter a mysterious young runaway who puts them on a terrifying path to ultimate horror."
Skyfall,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench","Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
The Hobbit: An Unexpected Journey,"Martin Freeman, Ian McKellen, Richard Armitage,Andy Serkis","A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug."
21 Jump Street,"Jonah Hill, Channing Tatum, Ice Cube,Brie Larson",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
Sing Street,"Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor",A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
Ballerina,"Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler","An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house."
Oblivion,"Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko",A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.
22 Jump Street,"Channing Tatum, Jonah Hill, Ice Cube,Nick Offerman","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
Zodiac,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Anthony Edwards","In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
Everybody Wants Some!!,"Blake Jenner, Tyler Hoechlin, Ryan Guzman,Zoey Deutch","In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood."
Iron Man Three,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow,Don Cheadle","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
Now You See Me,"Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson",An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.
Sherlock Holmes,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
Death Proof,"Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito","Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans."
The Danish Girl,"Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw",A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.
Hercules,"Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes","Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord."
Sucker Punch,"Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone","A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape."
Keeping Up with the Joneses,"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot",A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.
Jupiter Ascending,"Channing Tatum, Mila Kunis,Eddie Redmayne, Sean Bean",A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.
Masterminds,"Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball",A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.
Iris,"Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin","Iris, young wife of a businessman, disappears in Paris. Maybe a mechanic with many debts is involved in the strange affair. A really complicated job for the police."
Busanhaeng,"Yoo Gong, Soo-an Kim, Yu-mi Jung, Dong-seok Ma","While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan."
Pitch Perfect,"Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
Neighbors 2: Sorority Rising,"Seth Rogen, Rose Byrne, Zac Efron, Chloë Grace Moretz","When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down."
The Exception,"Lily James, Jai Courtney, Christopher Plummer, Loïs van Wijk","A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation."
Man of Steel,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane","Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction."
The Choice,"Benjamin Walker, Teresa Palmer, Alexandra Daddario,Maggie Grace",Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.
Ice Age: Collision Course,"Ray Romano, Denis Leary, John Leguizamo, Chris Wedge","Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world."
The Devil Wears Prada,"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt","A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
The Infiltrator,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan",A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.
There Will Be Blood,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds,Martin Stringer","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
The Equalizer,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour","A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her."
Lone Survivor,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster","Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare."
The Cabin in the Woods,"Kristen Connolly, Chris Hemsworth, Anna Hutchison,Fran Kranz","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
The House Bunny,"Anna Faris, Colin Hanks, Emma Stone, Kat Dennings","After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls."
She's Out of My League,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel","An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship."
Inherent Vice,"Joaquin Phoenix, Josh Brolin, Owen Wilson,Katherine Waterston","In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend."
Alice Through the Looking Glass,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway",Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.
Vincent N Roxxy,"Emile Hirsch, Zoë Kravitz, Zoey Deutch,Emory Cohen",A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.
The Fast and the Furious: Tokyo Drift,"Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette",A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.
How to Be Single,"Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie",A group of young adults navigate love and relationships in New York City.
The Blind Side,"Quinton Aaron, Sandra Bullock, Tim McGraw,Jae Head","The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family."
La vie d'Adèle,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing","Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
The Babadook,"Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney","A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her."
The Hobbit: The Battle of the Five Armies,"Ian McKellen, Martin Freeman, Richard Armitage,Cate Blanchett",Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.
Harry Potter and the Order of the Phoenix,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts."
Snowpiercer,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris","Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges."
The 5th Wave,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez,Bailey Anne Borders","Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother."
The Stakelander,"Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson","When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader, Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter, Mister, to guide him."
The Visit,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie",Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.
Fast Five,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.
Step Up,"Channing Tatum, Jenna Dewan Tatum, Damaine Radcliff, De'Shawn Washington","Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora."
Lovesong,"Riley Keough, Jena Malone, Jessie Ok Gray, Cary Joji Fukunaga",The relationship between two friends deepens during an impromptu road trip.
RocknRolla,"Gerard Butler, Tom Wilkinson, Idris Elba, Thandie Newton","In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into... See full summary »"
In Time,"Justin Timberlake, Amanda Seyfried, Cillian Murphy,Olivia Wilde","In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
The Social Network,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara","Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business."
The Last Witch Hunter,"Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson",The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.
Victor Frankenstein,"Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott","Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today."
A Street Cat Named Bob,"Luke Treadaway, Bob the Cat, Ruta Gedmintas, Joanne Froggatt","Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat."
Green Room,"Anton Yelchin, Imogen Poots, Alia Shawkat,Patrick Stewart",A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.
Blackhat,"Chris Hemsworth, Viola Davis, Wei Tang, Leehom Wang",A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.
Storks,"Andy Samberg, Katie Crown,Kelsey Grammer, Jennifer Aniston","Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby."
American Sniper,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis","Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind."
Dallas Buyers Club,"Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
Lincoln,"Daniel Day-Lewis, Sally Field, David Strathairn,Joseph Gordon-Levitt","As the War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
Rush,"Daniel Brühl, Chris Hemsworth, Olivia Wilde,Alexandra Maria Lara",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
Before I Wake,"Kate Bosworth, Thomas Jane, Jacob Tremblay,Annabeth Gish",A young couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.
Silver Linings Playbook,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
Tracktown,"Alexi Pappas, Chase Offerle, Rachel Dratch, Andy Buckley","A young, talented, and lonely long-distance runner twists her ankle as she prepares for the Olympic Trials and must do something she's never done before: take a day off."
The Fault in Our Stars,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern",Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
Blended,"Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon","After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship."
Fast & Furious,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster","Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation."
Looper,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano","In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
White House Down,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal,Jason Clarke","While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders."
Pete's Dragon,"Bryce Dallas Howard, Robert Redford, Oakes Fegley,Oona Laurence","The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon."
Spider-Man 3,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge."
The Three Musketeers,"Logan Lerman, Matthew Macfadyen, Ray Stevenson, Milla Jovovich",The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.
Stardust,"Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
American Hustle,"Christian Bale, Amy Adams, Bradley Cooper,Jennifer Lawrence","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia."
Jennifer's Body,"Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons",A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?
Midnight in Paris,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight."
Lady Macbeth,"Florence Pugh, Christopher Fairbank, Cosmo Jarvis, Naomi Ackie","Set in 19th century rural England, young bride who has been sold into marriage to a middle-aged man discovers an unstoppable desire within herself as she enters into an affair with a work on her estate."
Joy,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez","Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty."
The Dressmaker,"Kate Winslet, Judy Davis, Liam Hemsworth,Hugo Weaving","A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong."
Cafe Society,"Jesse Eisenberg, Kristen Stewart, Steve Carell, Blake Lively","In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man."
Insurgent,"Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet",Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.
Seventh Son,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander","When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him."
Demain tout commence,"Omar Sy, Clémence Poésy, Antoine Bertrand, Ashley Walters",Samuel parties hard in the Marseille area of France and is awoken one morning by a woman carrying a baby she claims is his. She drives off leaving him with a wailing infant; he gives chase ... See full summary »
The Theory of Everything,"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",A look at the relationship between the famous physicist Stephen Hawking and his wife.
This Is the End,"James Franco, Jonah Hill, Seth Rogen,Jay Baruchel","While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse."
About Time,"Domhnall Gleeson, Rachel McAdams, Bill Nighy,Lydia Wilson","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
Step Brothers,"Will Ferrell, John C. Reilly, Mary Steenburgen,Richard Jenkins",Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.
Clown,"Andy Powers, Laura Allen, Peter Stormare, Christian Distefano","A loving father finds a clown suit for his son's birthday party, only to realize that it is not a suit at all."
Star Trek Into Darkness,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch","After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
Zombieland,"Jesse Eisenberg, Emma Stone, Woody Harrelson,Abigail Breslin","A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America."
"Hail, Caesar!","Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes",A Hollywood fixer in the 1950s works to keep the studio's stars in line.
Slumdog Millionaire,"Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor","A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?"""
The Twilight Saga: Breaking Dawn - Part 2,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli","After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
American Wrestler: The Wizard,"William Fichtner, Jon Voight, Lia Marie Johnson,Gabriel Basso","In 1980, a teenage boy escapes the unrest in Iran only to face more hostility in America, due to the hostage crisis. Determined to fit in, he joins the school's floundering wrestling team."
The Amazing Spider-Man,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death."
Ben-Hur,"Jack Huston, Toby Kebbell, Rodrigo Santoro,Nazanin Boniadi","Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption."
Sleight,"Jacob Latimore, Seychelle Gabriel, Dulé Hill, Storm Reid","A young street magician (Jacob Latimore) is left to care for his little sister after their parents passing, and turns to illegal activities to keep a roof over their heads. When he gets in ... See full summary »"
The Maze Runner,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster","Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape."
Criminal,"Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman","In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission."
Wanted,"Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp","A frustrated office worker learns that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities."
Florence Foster Jenkins,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson","The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice."
Collide,"Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley","An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn."
Black Mass,"Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton","The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf."
Creed,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
Swiss Army Man,"Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero",A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.
The Expendables 3,"Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas","Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates."
What We Do in the Shadows,"Jemaine Clement, Taika Waititi,Cori Gonzalez-Macuer, Jonny Brugh","A documentary team films the lives of a group of vampires for a few months. The vampires share a house in Wellington, New Zealand. Turns out vampires have their own domestic problems too."
Southpaw,"Jake Gyllenhaal, Rachel McAdams, Oona Laurence,Forest Whitaker",Boxer Billy Hope turns to trainer Tick Wills to help him get his life back on track after losing his wife in a tragic accident and his daughter to child protection services.
Hush,"John Gallagher Jr., Kate Siegel, Michael Trucco,Samantha Sloyan",A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.
Bridge of Spies,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
The Lego Movie,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett","An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis."
Everest,"Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson","The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest."
Pixels,"Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage","When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games."
Robin Hood,"Russell Crowe, Cate Blanchett, Matthew Macfadyen,Max von Sydow","In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power."
The Wolverine,"Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima","When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons."
John Carter,"Taylor Kitsch, Lynn Collins, Willem Dafoe,Samantha Morton","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior."
Keanu,"Keegan-Michael Key, Jordan Peele, Tiffany Haddish,Method Man","When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins, they will have to go through gangs, hitmen and drug dealers who claim him in order to get him back."
The Gunman,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem","A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself."
Steve Jobs,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac."
Whisky Galore,"Tim Pigott-Smith, Naomi Battrick, Ellie Kendrick,James Cosmo",Scottish islanders try to plunder cases of whisky from a stranded ship.
Grown Ups 2,"Adam Sandler, Kevin James, Chris Rock, David Spade","After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you."
The Age of Adaline,"Blake Lively, Michiel Huisman, Harrison Ford,Kathy Baker","A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."
The Incredible Hulk,"Edward Norton, Liv Tyler, Tim Roth, William Hurt","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he emerges whenever he loses his temper."
Couples Retreat,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman","A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional."
Absolutely Anything,"Simon Pegg, Kate Beckinsale, Sanjeev Bhaskar, Rob Riggle","A group of eccentric aliens confer a human being with the power to do absolutely anything, as an experiment."
Magic Mike,"Channing Tatum, Alex Pettyfer, Olivia Munn,Matthew McConaughey","A male stripper teaches a younger performer how to party, pick up women, and make easy money."
Minions,"Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin","Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world."
The Black Room,"Natasha Henstridge, Lukas Hassel, Lin Shaye,Dominique Swain",PAUL and JENNIFER HEMDALE have just moved into their dream house. But their happy marriage is about to be put to the test as they slowly discover the secret behind the black room in the ... See full summary »
Bronson,"Tom Hardy, Kelly Adams, Luing Andrews,Katy Barker","A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson."
Despicable Me,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
The Best of Me,"James Marsden, Michelle Monaghan, Luke Bracey,Liana Liberato",A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.
The Invitation,"Logan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard","While attending a dinner party at his former home, a man thinks his ex-wife and her new husband have sinister intentions for their guests."
